ad_id,subject,tablet_brand,tablet_model,tablet_screen_size,tablet_capacity,clean_subject
59710351,Máy đọc sách Amazon Kindle ( gen 8 ) kindle basic,Hãng Khác,Dòng khác,< 7 inch,< 8GB,đọc sách amazon kindle gen 8 kindle basic
70415987,iPad 4 - 16GB Zin Đẹp -Tặng Đủ Phụ Kiện,Apple,iPad 4,9 - 9.9 inch,16 GB,ipad 4 16gb phụ kiện
81644535,[Giảm Giá] Apple iPad 3 WiFi|Góp 0% Lãi Suất,Apple,iPad 3,9 - 9.9 inch,16 GB,giảm apple ipad 3 wifi góp 0% lãi suất
82315452,Apple iPad 2 16GB Wifi + 3G | Ship CoD,Apple,iPad 2,9 - 9.9 inch,16 GB,apple ipad 2 16gb wifi 3g ship cod
82317825,Apple iPad 2 Wifi 16 GB |Trả Góp Lãi suất Thấp,Apple,iPad 2,9 - 9.9 inch,16 GB,apple ipad 2 wifi 16 gb lãi suất thấp
92485318,"IPAD 3 WIFI/ 3G + WIFI ĐẸP, Đủ Phụ Kiện, Bảo Hành",Apple,iPad 3,10 - 10.9 inch,16 GB,ipad 3 wifi/ 3g wifi phụ kiện
100592441,��Masta Shop chuyên cung cấp full model iPad 2020,Apple,Dòng khác,> 10.9 inch,< 8GB,masta shop model ipad 2020
101216866,Máy tính bảnh Huawei T1 8.0 Pro wifi 4g học online,HUAWEI,MediaPad T1,8 - 8.9 inch,16 GB,tính bảnh huawei t1 8 0 wifi 4g ine
101254321,Apple iPad Gen 5 2017 32GB 4G | Hỗ trợ góp | COD,Apple,iPad Gen 5,10 - 10.9 inch,32 GB,apple ipad gen 5 2017 32gb 4g góp cod
101269211,Máy tính bảng huawei T1 7.0 wifi 3G học online,HUAWEI,MediaPad T1,7 - 7.9 inch,16 GB,tính bảng huawei t1 7 0 wifi 3g ine
101288806,iPad Air 3 Fullbox 64 GB BH Dài 99%,Apple,Dòng khác,10 - 10.9 inch,64 GB,ipad air 3 64 gb dài 99
101323728,Blackberry Playbook treo logo,Hãng Khác,Dòng khác,7 - 7.9 inch,32 GB,blackberry playbo treo logo
101518397,"2Tstore: Máy tính bảng Ipad 4 tặng sạp, ốp",Apple,iPad 4,9 - 9.9 inch,16 GB,2tstore máy tính bảng ipad 4 sạp ốp
101631866,Apple iPad 2019 ( Gen 7) New Nobox ( Actived ) |,Apple,Dòng khác,10 - 10.9 inch,32 GB,apple ipad 2019 gen 7 new no actived
101680355,Apple iPad 2019 10.2 inch 32GB 4G ( Gen 7) | New,Apple,Dòng khác,10 - 10.9 inch,32 GB,apple ipad 2019 10 2 inch 32gb 4g gen 7 new
101958463,iPad Air 2019 10.5 ( Air 3 ) New 100% Active rồi,Apple,Dòng khác,10 - 10.9 inch,64 GB,ipad air 2019 10 5 air 3 new 100% active rồi
101958651,iPad Mini 5 64GB WIFI + 4G New Nobox Active Rồi,Apple,Dòng khác,7 - 7.9 inch,64 GB,ipad mini 5 64gb wifi 4g new no active rồi
101958944,iPad Mini 5 64GB WIFI + 4G New Nobox,Apple,Dòng khác,7 - 7.9 inch,64 GB,ipad mini 5 64gb wifi 4g new no
101959147,iPad Air 3 10.5 (Air 2019) 64GB 4G | Hỗ trợ Góp,Apple,Dòng khác,10 - 10.9 inch,64 GB,ipad air 3 10 5 air 2019 64gb 4g góp
102016185,Surface 3 | SSD 64GB | Intel ATOM x7 | RAM 2GB,Hãng Khác,Dòng khác,> 10.9 inch,128 GB,surface 3 ssd 64gb intel atom x7 ram 2gb
102632240,Surface Pro 3  | SSD 128GB | core i5 | RAM 4GB 97%,Hãng Khác,Dòng khác,> 10.9 inch,128 GB,surface 3 ssd 128gb core i5 ram 4gb 97
102716534,Surface Pro 3 | SSD 128GB | core i5 | RAM 4GB 97%,Hãng Khác,Dòng khác,> 10.9 inch,128 GB,surface 3 ssd 128gb core i5 ram 4gb 97
102939441,Cầm đồ F81 thanh lý Galaxy book 10.6”,Samsung,Galaxy Tab,10 - 10.9 inch,128 GB,cầm đồ f81 lý galaxy bo 10 6”
103449167,Apple iPad Pro 11 inch 2018 64GB Wifi + 4G,Apple,iPad Pro 11 inch 2018,> 10.9 inch,64 GB,apple ipad 11 inch 2018 64gb wifi 4g
